object_id,line1,line2,source
FY1C_779,1 30885U 99025AXX 26124.37396397  .00006641  00000+0  16290-2 0  9997,2 30885  99.0198 340.1856 0051924 148.4644  27.8491 14.51940537990458,Fengyun-1C
FY1C_780,1 30886U 99025AXY 26123.94514637  .00002936  00000+0  12958-2 0  9999,2 30886  99.2041  28.4254 0036360 352.8561   7.2093 14.23786012984191,Fengyun-1C
FY1C_781,1 30887U 99025AXZ 26124.62426257  .00002461  00000+0  46490-3 0  9998,2 30887  98.3439 183.4782 0261160 213.5435 144.8985 14.45787285  1850,Fengyun-1C
FY1C_782,1 30888U 99025AYA 26124.47237574  .00015048  00000+0  11852-2 0  9992,2 30888  99.4880 138.3547 0077364  58.4783 302.3961 14.98559287 20510,Fengyun-1C
FY1C_783,1 30891U 99025AYD 26121.41470873  .00001157  00000+0  71866-3 0  9996,2 30891  98.7608 169.6964 0055760 155.2248 221.5790 14.06196226979459,Fengyun-1C
FY1C_784,1 30892U 99025AYE 26123.60096113  .00000657  00000+0  33588-3 0  9994,2 30892  99.6819  84.6064 0038536 152.3831 207.9399 14.19193600663156,Fengyun-1C
FY1C_785,1 30893U 99025AYF 26124.31568810  .00001502  00000+0  77530-3 0  9997,2 30893  98.2420 141.5862 0308655  53.5525 323.8862 13.94513762968724,Fengyun-1C
FY1C_786,1 30895U 99025AYH 26124.45650719  .00000781  00000+0  23939-3 0  9996,2 30895  98.6975 198.5174 0217138  64.8670 316.2273 14.31895325998358,Fengyun-1C
FY1C_787,1 30899U 99025AYM 26124.50999994  .00003002  00000+0  10752-2 0  9994,2 30899  99.1726  35.6841 0028613 234.0047 308.6147 14.34572716987016,Fengyun-1C
FY1C_788,1 30903U 99025AYR 26122.44930823 -.00000075  00000+0 -19884-4 0  9993,2 30903  99.3560  15.7931 0096737  70.5451 290.6133 13.97670584706703,Fengyun-1C
FY1C_789,1 30905U 99025AYT 26123.50460423  .00003180  00000+0  15286-2 0  9995,2 30905  98.8774 204.0350 0053656  40.8520 319.6659 14.18795107981325,Fengyun-1C
FY1C_790,1 30907U 99025AYV 26124.37376608  .00001445  00000+0  75316-3 0  9997,2 30907  99.9344 165.7139 0057861 106.5805 254.1730 14.15592412 35670,Fengyun-1C
FY1C_791,1 30912U 99025AZA 26123.86399309  .00011615  00000+0  10702-2 0  9996,2 30912  98.9849 350.0044 0054079   4.6994 355.4718 14.93781228 15203,Fengyun-1C
FY1C_792,1 30913U 99025AZB 26124.03803728  .00000611  00000+0  39914-3 0  9993,2 30913  98.7290 150.8013 0049554 141.1972 219.2771 14.05243961979169,Fengyun-1C
FY1C_793,1 30914U 99025AZC 26118.90335803  .00001939  00000+0  30223-2 0  9994,2 30914  99.9840 359.2035 0511055  39.4884 324.2329 13.09301984608702,Fengyun-1C
FY1C_794,1 30915U 99025AZD 26124.66541328  .00003095  00000+0  12918-2 0  9992,2 30915  98.9311 208.5730 0053361 114.7931 245.8812 14.26172109985498,Fengyun-1C
FY1C_795,1 30916U 99025AZE 26124.13640541  .00001565  00000+0  90628-3 0  9997,2 30916  98.9813 189.1858 0063622 218.8316 170.5234 14.09365329978498,Fengyun-1C
FY1C_796,1 30918U 99025AZG 26124.79538961  .00001094  00000+0  72659-3 0  9994,2 30918  98.4184 230.0375 0157657  85.1856  45.0856 13.97297256970501,Fengyun-1C
FY1C_797,1 30920U 99025AZJ 26124.69110520  .00005279  00000+0  24254-2 0  9999,2 30920  98.9175 271.5344 0107458  51.9302 309.1508 14.18611176971195,Fengyun-1C
FY1C_798,1 30921U 99025AZK 26124.82904670  .00003691  00000+0  13320-2 0  9990,2 30921  98.8363 220.3134 0015258 337.6234 146.1729 14.34171908988742,Fengyun-1C
FY1C_799,1 30922U 99025AZL 26124.53743104  .00001086  00000+0  55249-3 0  9995,2 30922  98.6315 141.4353 0013685   6.5276 144.9852 14.17852121985872,Fengyun-1C
FY1C_800,1 30925U 99025AZP 26123.86858089  .00007009  00000+0  19789-2 0  9991,2 30925  98.8901 267.0174 0033307 170.9601 341.9439 14.45684154991243,Fengyun-1C
FY1C_801,1 30926U 99025AZQ 26124.41822130  .00003614  00000+0  29253-3 0  9998,2 30926  98.8213  86.5511 0159183 282.4644  75.8801 14.91139889 28929,Fengyun-1C
FY1C_802,1 30927U 99025AZR 26122.12414576  .00002432  00000+0  13521-2 0  9993,2 30927  99.1696 190.2432 0095115 334.3827  25.2646 14.09810434976613,Fengyun-1C
